id,category,source_type,title_or_description,source_page_url,direct_image_url,design_takeaway
P11,pinterest,pin,Green tile shower with wood and built-in bench,https://www.pinterest.com/pin/11962755256804765/,https://i.pinimg.com/736x/b2/94/1c/b2941c91431af07ad31e58799d18f3e9.jpg,tiled bench and wood cabinetry in an open wet zone
P12,pinterest,pin,Double vanity with adjacent walk-in shower,https://www.pinterest.com/pin/1130122100250679098/,https://i.pinimg.com/736x/fe/3d/99/fe3d99b6b9e46df07ff75046a8b93506.jpg,practical dual-sink plus frameless glass layout
P13,pinterest,pin,White tub set next to a window,https://www.pinterest.com/pin/576179346095157057/,https://i.pinimg.com/736x/4e/27/ef/4e27ef1c76bb7ebac75f551dfba1020a.jpg,tub placed at glazing for a garden view
P14,pinterest,pin,Compact tub, sink and shower arrangement,https://www.pinterest.com/pin/68748657599/,https://i.pinimg.com/736x/ea/00/a2/ea00a2f0f090d46353a1d3ee8941824f.jpg,efficient small-footprint three-fixture plan
P15,pinterest,pin,Patterned rug against green tiled walls,https://www.pinterest.com/pin/920634348880114229/,https://i.pinimg.com/736x/a6/21/9a/a6219a32ba1029cf6d0dccefe4876b49.jpg,soft textile warms a green-tiled room
W01,web,article,Fireclay Tile - Project Spotlight: Honoring Eichler,https://www.fireclaytile.com/blog/full/project-spotlight-honoring-eichler,,4x8 tile in Aqua set straight (not stacked) as a period-honest wall
W02,web,article,Fireclay Tile - Mod About Midcentury Bathroom Tiles,https://www.fireclaytile.com/blog/full/tile-by-style-mod-about-midcentury-bathrooms,https://cdn.shopify.com/s/files/1/0971/1596/3695/files/midcentury-bathroom-Warm-to-Cool-Hexagon-Tile-Bathroom.jpg?v=1772656654,palette + shapes: hexagon ombre, 2x8/4x8 straight-set, retro greens/blues/mustard
W03,web,article,Fireclay Tile - Midcentury Meets Modern Bathroom,https://www.fireclaytile.com/blog/full/installation-stories-mid-century-meets-modern-bathroom,,installation story balancing vintage tile with modern function
W04,web,collection,Fireclay Tile x Destination Eichler collaboration,https://www.fireclaytile.com/destination-eichler,,designer-curated Eichler-appropriate tile pairings
W05,web,guide,Eichler Homes For Sale - Balancing vintage charm with modern expectations,https://www.eichlerhomesforsale.com/blog/the-eichler-bathroom-balancing-vintage-charm-with-modern-expectations,,brand + fixture guide: Heath, Fireclay, Modwalls; globe pendants; wall-hung toilet; electric radiant mats
W06,web,project,Klopf Architecture - Burlingame Eichler Remodel (Houzz),https://www.houzz.com/photos/burlingame-eichler-remodel-by-klopf-architecture-midcentury-bathroom-san-francisco-phvw-vp~119114637,,architect-designed Eichler bath detailing
W07,web,project,Dezeen - Klopf Architecture Palo Alto Eichler remodel,https://www.dezeen.com/2019/02/06/palo-alto-eichler-remodel-klopf-architecture-silicon-valley/,,whole-house Eichler renovation context for the bath
W08,web,project,Klopf Architecture - Mountain View Eichler Remodel,https://klopfarchitecture.com/project/mountain-view-eichler-remodel/,,double-gable Eichler remodel project pages
W09,web,project,One Kindesign - Classic Eichler inspiring update (Klopf),https://onekindesign.com/eichler-home-california-inspiring-update/,https://onekindesign.com/wp-content/uploads/2016/04/Eichler-Remodel-Klopf-Architecture-24-1-Kindesign.jpg,colorful Heath + Fireclay tile that stays bright without feeling dated
W10,web,magazine,Atomic Ranch - Eichler restoration and tile sourcing,https://www.atomic-ranch.com/,,magazine coverage of Eichler restorations and sourcing
W11,web,magazine,MidCenturyHome - compact mid-century bathroom ideas,https://www.midcenturyhome.com/,,ideas for small mid-century bathroom footprints
S01,shower-pan,product,Transolid FPT6032L-HO Pre-Tiled Shower Base 60x32 Off-White Hexagon (terrazzo look) - $1753.34,https://www.fergusonhome.com/product/summary/2017269,,factory-finished terrazzo/marble-hex base; stock sizes only (not custom); the link Duncan shared
S02,shower-pan,vendor,Tile Redi - Redi Your Way custom tileable shower pans,https://tileredi.com/products/custom-shower-pans,,made to exact size + drain; tile with real terrazzo or terrazzo-look porcelain (truest terrazzo at custom size)
S03,shower-pan,vendor,The Onyx Collection - custom solid-surface shower bases,https://onyxcollection.com/custom-shower-base-pan-full-height-curb/,,any size + curbless option grout-free; colors mostly subtle speckle not bold terrazzo
S04,shower-pan,vendor,Marble-Lite - custom cultured-marble shower pans,https://www.marblelite.com/shower-pans,,cultured marble poured to size; heavy speckle can read closer to terrazzo
S05,shower-pan,reference,Retro Renovation - terrazzo shower bases,https://retrorenovation.com/2016/02/22/terrazzo-shower-bases-fiat/,,background on real precast terrazzo receptors and available sizes
T01,shower-floor,standard,CTASC - residential shower floor slip standard (ANSI A326.3 DCOF 0.42),https://ctasc.com/expert-answers/are-there-standards-for-residential-shower-floors/,,0.42 DCOF minimum for wet level floors; small mosaics add traction
T02,shower-floor,product,Daltile Outlander - terrazzo-look porcelain with StepWise slip finish,https://www.daltile.com/products/terrazzo-look/outlander/dusk-rectangle-12x24-alto-stepwise-matte,,DCOF >=0.42 wet; large format for walls/bath floor NOT the pan; pair with a mosaic on the pan
T03,shower-floor,product,Marazzi D_Segni Terrazzo - glazed porcelain classic terrazzo pattern,https://floorzz.com/products/marazzi-d_segni-terrazzo-glazed-porcelain-tile-white,,crisp mid-century terrazzo look; confirm floor DCOF/format
T04,shower-floor,reference,Daltile - terrazzo-look collections overview (Outlander/Sand&Stone/Poke),https://www.daltile.com/tile-therapy/articles/terrazzo-takeover,,survey of Daltile terrazzo-look porcelain lines
T05,shower-floor,reference,Apollo Tile - real terrazzo vs terrazzo-look (sealing/porosity/wet areas),https://apollotile.com/blogs/our-blogs/terrazzo-tile-vs-terrazzo-look-tile-whats-the-difference,,cement terrazzo is porous and needs sealing; porcelain needs none
T06,shower-floor,reference,DM Terrazzo - is terrazzo slippery (honed/textured for wet; R11-R12/P4-P5),https://dmterrazzo.com/is-terrazzo-slippery/,,use honed/textured finish + small format for a terrazzo shower floor
T07,shower-floor,product,Tile Club - real cement terrazzo tile example,https://www.tileclub.com/products/terra-cotta-terrazzo-cement-tile-24-x-24,,example of real terrazzo tile; verify finish/slip for shower use
C01,custom-base,vendor,Angelozzi TERRALITE - custom one-piece EPOXY terrazzo shower units,https://angelozziterrazzo.com/terrazzo-shower-units/,,custom sizes/shapes; slope molded in; linear "infinity" drain cast directly; metal flashing standard; start here
C02,custom-base,vendor,Creative Industries Terrazzo - precast cement terrazzo shower bases,https://www.creative-terrazzo.com/shower-bases.htm,,any size/any color incl. radius; 5 threshold styles; drain movable for small charge; cement = needs sealing
C03,custom-base,vendor,Grifform Innovations - custom Corian/HI-MACS shower pans,https://www.grifform.com/products/custom/shower-pans,,terrazzo-look colors (Domino/Laguna/Peppered); 16 shapes; stud-to-stud measure; slip-resistant finish add-on
C04,custom-base,spec,Angelozzi TERRALITE precast epoxy terrazzo panel spec sheet (PDF),https://angelozziterrazzo.com/wp-content/uploads/2020/01/Terralite.pdf,,technical spec for the epoxy terrazzo material
